"trait","output","central_1e5","forward_1e5","backward_1e5"
"lma","leaf_area",-35.1849719116171,34.2226099909748,-104.592553814209
"lma","mass_above_ground",-2498.42118906685,-2687.39292395281,-2309.44945418088
"lma","area_stem",-0.554310238031104,-0.220682004343879,-0.887938471718329
"lma","R0",-6961.57413744594,6800.96287078555,-20724.1111456774
"rho","leaf_area",-3.4764967745111,-6.79138873428248,-0.161604814739722
"rho","mass_above_ground",0.0468736331819162,0.554115785496958,-0.460368519133126
"rho","area_stem",-0.00516165140158497,-0.00982095805506732,-0.000502344748102616
"rho","R0",-624.485024737692,-1238.85526191495,-10.1147875604323
"hmat","leaf_area",-60.3388669685391,-335.988938164786,215.311204227708
"hmat","mass_above_ground",3413.04437988531,7204.15847493119,-378.069715160564
"hmat","area_stem",0.170626649478047,0.457468280410393,-0.116214981454299
"hmat","R0",5198.82466613268,-29372.4257530728,39770.0750853382
"theta","leaf_area",3097.49673200295,264.028328651067,5930.96513535483
"theta","mass_above_ground",1379115.79792134,278762.399342638,2479469.19650004
"theta","area_stem",161.29816800058,51.6652429647551,270.931093036404
"theta","R0",-509247.610432821,-602314.630136688,-416180.590728955
"a_l1","leaf_area",454.694082079701,19.3462923680074,890.041871791394
"a_l1","mass_above_ground",2591.61458598056,2637.99225382614,2545.23691813499
"a_l1","area_stem",0.541055377218041,0.322246983807085,0.759863770628998
"a_l1","R0",16623.4953665126,4939.98485516959,28307.0058778557
"k_I","leaf_area",-41.7825086894696,33.4265708483272,-116.991588227267
"k_I","mass_above_ground",-4863.59472357734,-6746.44833224391,-2980.74111491076
"k_I","area_stem",-0.569106932969514,-0.517886723989773,-0.620327141949255
"k_I","R0",-5035.52837505126,-5235.88712834808,-4835.16962175443
"a_dG1","leaf_area",-28914.3924652663,-57868.0989112747,39.3139807421667
"a_dG1","mass_above_ground",-914039.715405012,-1824827.72884498,-3251.70196504158
"a_dG1","area_stem",-103.587486890952,-207.022649032352,-0.152324749551946
"a_dG1","R0",-290742.149200143,-576256.49548452,-5227.80291576636
"K_s","leaf_area",173.812765984493,90.0469367579593,257.578595211028
"K_s","mass_above_ground",15335.7957121969,5700.83404639234,24970.7573780014
"K_s","area_stem",1.98199261627384,0.740353004346356,3.22363222820133
"K_s","R0",3457.60178438823,3310.62941241242,3604.57415636404
"psi_crit","leaf_area",-6.40608061220781,4.03209091697442,-16.84425214139
"psi_crit","mass_above_ground",656.949058866244,-362.627676281227,1676.52579401371
"psi_crit","area_stem",0.0732635866266795,0.070287508706444,0.0762396645469149
"psi_crit","R0",-1266.84562398825,-801.121523343013,-1732.56972463349
